STDR_YY_CD,TRDAR_SE_CD,TRDAR_SE_CD_NM,APT_HSMP_CO,AE_66_SQMT_BELO_HSHLD_CO,AE_66_SQMT_HSHLD_CO,AE_99_SQMT_HSHLD_CO,AE_132_SQMT_HSHLD_CO,AE_165_SQMT_HSHLD_CO,PC_1_HDMIL_BELO_HSHLD_CO,PC_1_HDMIL_HSHLD_CO,PC_2_HDMIL_HSHLD_CO,PC_3_HDMIL_HSHLD_CO,PC_4_HDMIL_HSHLD_CO,PC_5_HDMIL_HSHLD_CO,PC_6_HDMIL_ABOVE_HSHLD_CO,AVRG_AE,AVRG_MKTC,STDR_QU_CD,TRDAR_CD,TRDAR_CD_NM
2020,U,관광특구,71.0,343.0,198.0,55.0,64.0,61.0,14.0,87.0,98.0,221.0,123.0,91.0,87.0,82.0,409473123.0,1,1001491,이태원 관광특구
2020,U,관광특구,71.0,343.0,198.0,55.0,64.0,61.0,14.0,87.0,98.0,221.0,123.0,91.0,87.0,82.0,409473123.0,2,1001491,이태원 관광특구
2020,U,관광특구,71.0,343.0,198.0,55.0,64.0,61.0,14.0,87.0,98.0,221.0,123.0,91.0,87.0,82.0,409473123.0,3,1001491,이태원 관광특구
2020,U,관광특구,70.0,338.0,197.0,52.0,64.0,61.0,10.0,81.0,96.0,200.0,143.0,77.0,105.0,82.0,428764829.0,4,1001491,이태원 관광특구
2020,U,관광특구,8.0,567.0,97.0,151.0,104.0,29.0,0.0,472.0,159.0,22.0,0.0,24.0,271.0,53.0,237967427.0,1,1001493,동대문패션타운 관광특구
2020,U,관광특구,8.0,567.0,97.0,151.0,104.0,29.0,0.0,472.0,159.0,22.0,0.0,24.0,271.0,53.0,237967427.0,2,1001493,동대문패션타운 관광특구
2020,U,관광특구,8.0,567.0,97.0,151.0,104.0,29.0,0.0,472.0,159.0,22.0,0.0,24.0,271.0,53.0,237967427.0,3,1001493,동대문패션타운 관광특구
2020,U,관광특구,11.0,603.0,97.0,151.0,104.0,29.0,0.0,507.0,154.0,28.0,0.0,4.0,291.0,51.0,245511812.0,4,1001493,동대문패션타운 관광특구
2020,U,관광특구,5.0,346.0,10.0,0.0,0.0,0.0,77.0,279.0,0.0,0.0,0.0,0.0,0.0,39.0,112097903.0,1,1001494,종로·청계 관광특구
2020,U,관광특구,5.0,346.0,10.0,0.0,0.0,0.0,77.0,279.0,0.0,0.0,0.0,0.0,0.0,39.0,112097903.0,2,1001494,종로·청계 관광특구
2020,U,관광특구,5.0,346.0,10.0,0.0,0.0,0.0,77.0,279.0,0.0,0.0,0.0,0.0,0.0,39.0,112097903.0,3,1001494,종로·청계 관광특구
2020,U,관광특구,8.0,345.0,11.0,0.0,0.0,0.0,76.0,280.0,0.0,0.0,0.0,0.0,0.0,39.0,114850602.0,4,1001494,종로·청계 관광특구
2020,U,관광특구,22.0,698.0,200.0,238.0,644.0,192.0,16.0,348.0,283.0,83.0,70.0,16.0,1156.0,89.0,527347107.0,1,1001495,잠실 관광특구
2020,U,관광특구,22.0,698.0,200.0,238.0,644.0,192.0,16.0,348.0,283.0,83.0,70.0,16.0,1156.0,89.0,527347107.0,2,1001495,잠실 관광특구
2020,U,관광특구,22.0,698.0,200.0,238.0,644.0,192.0,16.0,348.0,283.0,83.0,70.0,16.0,1156.0,89.0,527347107.0,3,1001495,잠실 관광특구
2020,U,관광특구,26.0,727.0,200.0,238.0,644.0,192.0,11.0,239.0,420.0,89.0,50.0,22.0,1170.0,87.0,566567911.0,4,1001495,잠실 관광특구
2020,A,골목상권,18.0,10.0,183.0,21.0,19.0,65.0,12.0,8.0,44.0,147.0,16.0,22.0,49.0,126.0,407727308.0,1,2110001,이북5도청사
2020,A,골목상권,18.0,10.0,183.0,21.0,19.0,65.0,12.0,8.0,44.0,147.0,16.0,22.0,49.0,126.0,407727308.0,2,2110001,이북5도청사
2020,A,골목상권,18.0,10.0,183.0,21.0,19.0,65.0,12.0,8.0,44.0,147.0,16.0,22.0,49.0,126.0,407727308.0,3,2110001,이북5도청사
2020,A,골목상권,20.0,17.0,203.0,21.0,19.0,65.0,11.0,6.0,40.0,175.0,18.0,20.0,55.0,125.0,428886786.0,4,2110001,이북5도청사
2020,A,골목상권,6.0,20.0,45.0,0.0,0.0,0.0,7.0,31.0,27.0,0.0,0.0,0.0,0.0,68.0,176839286.0,1,2110002,독립문역 1번
2020,A,골목상권,6.0,20.0,45.0,0.0,0.0,0.0,7.0,31.0,27.0,0.0,0.0,0.0,0.0,68.0,176839286.0,2,2110002,독립문역 1번
2020,A,골목상권,6.0,20.0,45.0,0.0,0.0,0.0,7.0,31.0,27.0,0.0,0.0,0.0,0.0,68.0,176839286.0,3,2110002,독립문역 1번
2020,A,골목상권,7.0,20.0,94.0,0.0,0.0,0.0,6.0,14.0,45.0,0.0,0.0,12.0,37.0,70.0,244393331.0,4,2110002,독립문역 1번
2020,A,골목상권,60.0,383.0,167.0,37.0,85.0,9.0,41.0,356.0,145.0,63.0,52.0,17.0,7.0,80.0,219000448.0,1,2110003,세검정초등학교
2020,A,골목상권,60.0,383.0,167.0,37.0,85.0,9.0,41.0,356.0,145.0,63.0,52.0,17.0,7.0,80.0,219000448.0,2,2110003,세검정초등학교
2020,A,골목상권,60.0,383.0,167.0,37.0,85.0,9.0,41.0,356.0,145.0,63.0,52.0,17.0,7.0,80.0,219000448.0,3,2110003,세검정초등학교
2020,A,골목상권,69.0,403.0,221.0,37.0,85.0,9.0,41.0,336.0,176.0,67.0,44.0,72.0,19.0,80.0,261329472.0,4,2110003,세검정초등학교
2020,A,골목상권,6.0,17.0,11.0,0.0,0.0,0.0,11.0,7.0,10.0,0.0,0.0,0.0,0.0,50.0,122041667.0,1,2110004,대신고등학교
2020,A,골목상권,6.0,17.0,11.0,0.0,0.0,0.0,11.0,7.0,10.0,0.0,0.0,0.0,0.0,50.0,122041667.0,2,2110004,대신고등학교
2020,A,골목상권,6.0,17.0,11.0,0.0,0.0,0.0,11.0,7.0,10.0,0.0,0.0,0.0,0.0,50.0,122041667.0,3,2110004,대신고등학교
2020,A,골목상권,6.0,17.0,11.0,0.0,0.0,0.0,11.0,7.0,10.0,0.0,0.0,0.0,0.0,50.0,123142500.0,4,2110004,대신고등학교
2020,A,골목상권,39.0,125.0,167.0,69.0,17.0,59.0,61.0,117.0,136.0,46.0,6.0,17.0,54.0,92.0,273483333.0,1,2110005,세검정
2020,A,골목상권,39.0,125.0,167.0,69.0,17.0,59.0,61.0,117.0,136.0,46.0,6.0,17.0,54.0,92.0,273483333.0,2,2110005,세검정
2020,A,골목상권,39.0,125.0,167.0,69.0,17.0,59.0,61.0,117.0,136.0,46.0,6.0,17.0,54.0,92.0,273483333.0,3,2110005,세검정
2020,A,골목상권,39.0,125.0,167.0,65.0,9.0,59.0,61.0,111.0,141.0,42.0,4.0,3.0,63.0,91.0,278004239.0,4,2110005,세검정
2020,A,골목상권,2.0,0.0,16.0,4.0,0.0,1.0,0.0,0.0,18.0,2.0,0.0,1.0,0.0,93.0,281055556.0,1,2110006,부암동주민센터
2020,A,골목상권,2.0,0.0,16.0,4.0,0.0,1.0,0.0,0.0,18.0,2.0,0.0,1.0,0.0,93.0,281055556.0,2,2110006,부암동주민센터
2020,A,골목상권,2.0,0.0,16.0,4.0,0.0,1.0,0.0,0.0,18.0,2.0,0.0,1.0,0.0,93.0,281055556.0,3,2110006,부암동주민센터
2020,A,골목상권,2.0,0.0,16.0,4.0,0.0,1.0,0.0,0.0,17.0,3.0,0.0,1.0,0.0,93.0,295055556.0,4,2110006,부암동주민센터
2020,A,골목상권,110.0,1187.0,152.0,47.0,0.0,0.0,152.0,497.0,28.0,42.0,340.0,43.0,284.0,51.0,182189781.0,1,2110007,사직공원(한국사회과학도서관)
2020,A,골목상권,110.0,1187.0,152.0,47.0,0.0,0.0,152.0,497.0,28.0,42.0,340.0,43.0,284.0,51.0,182189781.0,2,2110007,사직공원(한국사회과학도서관)
2020,A,골목상권,110.0,1187.0,152.0,47.0,0.0,0.0,152.0,497.0,28.0,42.0,340.0,43.0,284.0,51.0,182189781.0,3,2110007,사직공원(한국사회과학도서관)
2020,A,골목상권,108.0,635.0,41.0,1.0,0.0,0.0,149.0,498.0,29.0,1.0,0.0,0.0,0.0,50.0,131024675.0,4,2110007,사직공원(한국사회과학도서관)
2020,A,골목상권,166.0,1068.0,277.0,27.0,0.0,1.0,144.0,598.0,569.0,53.0,1.0,7.0,1.0,58.0,186756081.0,1,2110008,배화여자대학교(박노수미술관)
2020,A,골목상권,166.0,1068.0,277.0,27.0,0.0,1.0,144.0,598.0,569.0,53.0,1.0,7.0,1.0,58.0,186756081.0,2,2110008,배화여자대학교(박노수미술관)
2020,A,골목상권,166.0,1068.0,277.0,27.0,0.0,1.0,144.0,598.0,569.0,53.0,1.0,7.0,1.0,58.0,186756081.0,3,2110008,배화여자대학교(박노수미술관)
2020,A,골목상권,166.0,1069.0,276.0,27.0,0.0,1.0,137.0,550.0,616.0,61.0,1.0,7.0,1.0,58.0,190503273.0,4,2110008,배화여자대학교(박노수미술관)
2020,A,골목상권,49.0,105.0,183.0,37.0,11.0,17.0,19.0,143.0,139.0,35.0,16.0,1.0,0.0,85.0,213882318.0,1,2110009,자하문터널
2020,A,골목상권,49.0,105.0,183.0,37.0,11.0,17.0,19.0,143.0,139.0,35.0,16.0,1.0,0.0,85.0,213882318.0,2,2110009,자하문터널
2020,A,골목상권,49.0,105.0,183.0,37.0,11.0,17.0,19.0,143.0,139.0,35.0,16.0,1.0,0.0,85.0,213882318.0,3,2110009,자하문터널
2020,A,골목상권,50.0,105.0,183.0,37.0,11.0,17.0,19.0,140.0,132.0,41.0,15.0,6.0,0.0,85.0,216911503.0,4,2110009,자하문터널
2020,A,골목상권,90.0,136.0,281.0,133.0,96.0,172.0,53.0,124.0,162.0,182.0,135.0,74.0,88.0,136.0,513855943.0,1,2110010,평창동서측
2020,A,골목상권,90.0,136.0,281.0,133.0,96.0,172.0,53.0,124.0,162.0,182.0,135.0,74.0,88.0,136.0,513855943.0,2,2110010,평창동서측
2020,A,골목상권,90.0,136.0,281.0,133.0,96.0,172.0,53.0,124.0,162.0,182.0,135.0,74.0,88.0,136.0,513855943.0,3,2110010,평창동서측
2020,A,골목상권,93.0,154.0,281.0,130.0,96.0,172.0,53.0,120.0,170.0,181.0,122.0,108.0,79.0,134.0,536949461.0,4,2110010,평창동서측
2020,A,골목상권,9.0,5.0,28.0,6.0,3.0,0.0,0.0,2.0,14.0,23.0,3.0,0.0,0.0,93.0,323652778.0,1,2110011,청운초등학교
2020,A,골목상권,9.0,5.0,28.0,6.0,3.0,0.0,0.0,2.0,14.0,23.0,3.0,0.0,0.0,93.0,323652778.0,2,2110011,청운초등학교
2020,A,골목상권,9.0,5.0,28.0,6.0,3.0,0.0,0.0,2.0,14.0,23.0,3.0,0.0,0.0,93.0,323652778.0,3,2110011,청운초등학교
2020,A,골목상권,12.0,17.0,31.0,6.0,5.0,0.0,0.0,2.0,14.0,31.0,7.0,3.0,2.0,92.0,393838294.0,4,2110011,청운초등학교
2020,A,골목상권,16.0,36.0,178.0,129.0,172.0,21.0,4.0,17.0,13.0,35.0,15.0,35.0,417.0,94.0,442732649.0,1,2110012,성곡미술관
2020,A,골목상권,16.0,36.0,178.0,129.0,172.0,21.0,4.0,17.0,13.0,35.0,15.0,35.0,417.0,94.0,442732649.0,2,2110012,성곡미술관
