STDR_YY_CD,STDR_QU_CD,TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,TOT_WRC_POPLTN_CO,ML_WRC_POPLTN_CO,FML_WRC_POPLTN_CO,AGRDE_10_WRC_POPLTN_CO,AGRDE_20_WRC_POPLTN_CO,AGRDE_30_WRC_POPLTN_CO,AGRDE_40_WRC_POPLTN_CO,AGRDE_50_WRC_POPLTN_CO,AGRDE_60_ABOVE_WRC_POPLTN_CO,MAG_10_WRC_POPLTN_CO,MAG_20_WRC_POPLTN_CO,MAG_30_WRC_POPLTN_CO,MAG_40_WRC_POPLTN_CO,MAG_50_WRC_POPLTN_CO,MAG_60_ABOVE_WRC_POPLTN_CO,FAG_10_WRC_POPLTN_CO,FAG_20_WRC_POPLTN_CO,FAG_30_WRC_POPLTN_CO,FAG_40_WRC_POPLTN_CO,FAG_50_WRC_POPLTN_CO,FAG_60_ABOVE_WRC_POPLTN_CO
2020,1,A,골목상권,2110001,이북5도청사,1066.0,638.0,428.0,4.0,133.0,292.0,240.0,262.0,135.0,0.0,51.0,173.0,162.0,172.0,80.0,4.0,82.0,119.0,78.0,90.0,55.0
2020,1,A,골목상권,2110002,독립문역 1번,475.0,121.0,354.0,1.0,146.0,140.0,118.0,44.0,26.0,1.0,25.0,25.0,41.0,14.0,15.0,0.0,121.0,115.0,77.0,30.0,11.0
2020,1,A,골목상권,2110003,세검정초등학교,485.0,315.0,170.0,6.0,53.0,84.0,150.0,126.0,66.0,6.0,32.0,38.0,100.0,89.0,50.0,0.0,21.0,46.0,50.0,37.0,16.0
2020,1,A,골목상권,2110004,대신고등학교,32.0,14.0,18.0,0.0,3.0,4.0,8.0,14.0,3.0,0.0,1.0,0.0,3.0,8.0,2.0,0.0,2.0,4.0,5.0,6.0,1.0
2020,1,A,골목상권,2110005,세검정,1006.0,510.0,496.0,3.0,125.0,296.0,290.0,195.0,97.0,0.0,36.0,137.0,157.0,121.0,59.0,3.0,89.0,159.0,133.0,74.0,38.0
2020,1,A,골목상권,2110006,부암동주민센터,27.0,16.0,11.0,0.0,2.0,7.0,7.0,5.0,6.0,0.0,2.0,5.0,2.0,3.0,4.0,0.0,0.0,2.0,5.0,2.0,2.0
2020,1,A,골목상권,2110007,사직공원(한국사회과학도서관),283.0,185.0,98.0,2.0,58.0,88.0,63.0,41.0,31.0,2.0,30.0,62.0,44.0,27.0,20.0,0.0,28.0,26.0,19.0,14.0,11.0
2020,1,A,골목상권,2110008,배화여자대학교(박노수미술관),552.0,379.0,173.0,1.0,52.0,82.0,133.0,180.0,104.0,0.0,16.0,46.0,102.0,135.0,80.0,1.0,36.0,36.0,31.0,45.0,24.0
2020,1,A,골목상권,2110009,자하문터널,950.0,463.0,487.0,0.0,211.0,332.0,229.0,125.0,53.0,0.0,92.0,164.0,106.0,65.0,36.0,0.0,119.0,168.0,123.0,60.0,17.0
2020,1,A,골목상권,2110010,평창동서측,6687.0,3622.0,3065.0,12.0,676.0,1736.0,2550.0,1464.0,249.0,0.0,276.0,655.0,1387.0,1128.0,176.0,12.0,400.0,1081.0,1163.0,336.0,73.0
2020,1,A,골목상권,2110011,청운초등학교,263.0,188.0,75.0,0.0,21.0,105.0,79.0,43.0,15.0,0.0,21.0,95.0,44.0,16.0,12.0,0.0,0.0,10.0,35.0,27.0,3.0
2020,1,A,골목상권,2110012,성곡미술관,1061.0,503.0,558.0,0.0,262.0,337.0,262.0,118.0,82.0,0.0,72.0,159.0,150.0,73.0,49.0,0.0,190.0,178.0,112.0,45.0,33.0
