STDR_YY_CD,TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,VIATR_FCLTY_CO,PBLOFC_CO,BANK_CO,GEHSPT_CO,GNRL_HSPTL_CO,PARMACY_CO,KNDRGR_CO,ELESCH_CO,MSKUL_CO,HGSCHL_CO,UNIV_CO,DRTS_CO,SUPMK_CO,THEAT_CO,STAYNG_FCLTY_CO,ARPRT_CO,RLROAD_STATN_CO,BUS_TRMINL_CO,SUBWAY_STATN_CO,BUS_STTN_CO,STDR_QU_CD
2020,U,관광특구,1001491,이태원 관광특구,144.0,4.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0,0.0,0.0,2.0,27.0,1
2020,U,관광특구,1001491,이태원 관광특구,144.0,4.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0,0.0,0.0,2.0,27.0,2
2020,U,관광특구,1001491,이태원 관광특구,144.0,4.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0,0.0,0.0,2.0,27.0,3
2020,U,관광특구,1001491,이태원 관광특구,63.0,5.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,4
2020,U,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,593.0,21.0,63.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,51.0,25.0,0.0,0.0,0.0,2.0,50.0,1
2020,U,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,593.0,21.0,63.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,51.0,25.0,0.0,0.0,0.0,2.0,50.0,2
2020,U,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,593.0,21.0,63.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,51.0,25.0,0.0,0.0,0.0,2.0,50.0,3
2020,U,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,426.0,14.0,57.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,9.0,0.0,0.0,0.0,2.0,44.0,4
2020,U,관광특구,1001493,동대문패션타운 관광특구,165.0,3.0,13.0,2.0,2.0,12.0,0.0,1.0,1.0,3.0,0.0,0.0,4.0,14.0,16.0,0.0,0.0,0.0,4.0,21.0,1
2020,U,관광특구,1001493,동대문패션타운 관광특구,165.0,3.0,13.0,2.0,2.0,12.0,0.0,1.0,1.0,3.0,0.0,0.0,4.0,14.0,16.0,0.0,0.0,0.0,4.0,21.0,2
