STDR_YY_CD,TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,VIATR_FCLTY_CO,PBLOFC_CO,BANK_CO,GEHSPT_CO,GNRL_HSPTL_CO,PARMACY_CO,KNDRGR_CO,ELESCH_CO,MSKUL_CO,HGSCHL_CO,UNIV_CO,DRTS_CO,SUPMK_CO,THEAT_CO,STAYNG_FCLTY_CO,ARPRT_CO,RLROAD_STATN_CO,BUS_TRMINL_CO,SUBWAY_STATN_CO,BUS_STTN_CO,STDR_QU_CD
2020,A,골목상권,2110001,이북5도청사,34.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,1
2020,A,골목상권,2110001,이북5도청사,34.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,2
2020,A,골목상권,2110001,이북5도청사,34.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,3
2020,A,골목상권,2110001,이북5도청사,42.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,4
2020,A,골목상권,2110002,독립문역 1번,67.0,4.0,1.0,0.0,1.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,16.0,1
2020,A,골목상권,2110002,독립문역 1번,67.0,4.0,1.0,0.0,1.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,16.0,2
2020,A,골목상권,2110002,독립문역 1번,67.0,4.0,1.0,0.0,1.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,16.0,3
2020,A,골목상권,2110002,독립문역 1번,57.0,3.0,1.0,1.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,4
2020,A,골목상권,2110003,세검정초등학교,90.0,7.0,2.0,0.0,0.0,3.0,2.0,2.0,1.0,1.0,6.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,38.0,1
2020,A,골목상권,2110003,세검정초등학교,90.0,7.0,2.0,0.0,0.0,3.0,2.0,2.0,1.0,1.0,6.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,38.0,2
2020,A,골목상권,2110003,세검정초등학교,90.0,7.0,2.0,0.0,0.0,3.0,2.0,2.0,1.0,1.0,6.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,38.0,3
2020,A,골목상권,2110003,세검정초등학교,102.0,4.0,2.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,4
2020,A,골목상권,2110004,대신고등학교,79.0,5.0,2.0,0.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,27.0,1
2020,A,골목상권,2110004,대신고등학교,79.0,5.0,2.0,0.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,27.0,2
2020,A,골목상권,2110004,대신고등학교,79.0,5.0,2.0,0.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,27.0,3
2020,A,골목상권,2110004,대신고등학교,87.0,6.0,3.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,4
2020,A,골목상권,2110005,세검정,83.0,6.0,2.0,0.0,0.0,3.0,2.0,2.0,1.0,1.0,6.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,31.0,1
2020,A,골목상권,2110005,세검정,83.0,6.0,2.0,0.0,0.0,3.0,2.0,2.0,1.0,1.0,6.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,31.0,2
2020,A,골목상권,2110005,세검정,83.0,6.0,2.0,0.0,0.0,3.0,2.0,2.0,1.0,1.0,6.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,31.0,3
2020,A,골목상권,2110005,세검정,85.0,3.0,2.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,4
