연도,분기,버스정류장ARS번호,00~06_승하차_승객수,06~11_승하차_승객수,11~14_승하차_승객수,14~17_승하차_승객수,17~21_승하차_승객수,21~24_승하차_승객수,X좌표,Y좌표,버스정류장_위경도_값
2020,1분기,23101,6672,71579,49177,57856,81299,31310,127.0204417,37.52299569,"37.52299569, 127.0204417"
2020,2분기,23101,8033,73779,48388,60335,86690,33037,127.0204417,37.52299569,"37.52299569, 127.0204417"
2020,3분기,23101,7756,74680,49755,58587,83374,33121,127.0204417,37.52299569,"37.52299569, 127.0204417"
2020,4분기,23101,6377,73417,51018,59961,77762,26662,127.0204417,37.52299569,"37.52299569, 127.0204417"
2020,1분기,23102,4348,42466,33203,48549,87372,38859,127.0210868,37.52348668,"37.52348668, 127.0210868"
2020,2분기,23102,4946,40707,31879,51386,92385,43391,127.0210868,37.52348668,"37.52348668, 127.0210868"
2020,3분기,23102,4991,41500,33988,52135,89491,44470,127.0210868,37.52348668,"37.52348668, 127.0210868"
2020,4분기,23102,4369,39959,36355,54123,84720,35959,127.0210868,37.52348668,"37.52348668, 127.0210868"
2020,1분기,23103,5270,41479,33143,40675,49287,20109,127.0251671,37.52550414,"37.52550414, 127.0251671"
2020,2분기,23103,5970,42281,32089,41335,52061,21114,127.0251671,37.52550414,"37.52550414, 127.0251671"
2020,3분기,23103,5959,44174,33409,41087,50083,21421,127.0251671,37.52550414,"37.52550414, 127.0251671"
2020,4분기,23103,4830,41083,32428,40275,44720,17802,127.0251671,37.52550414,"37.52550414, 127.0251671"
2020,1분기,23104,4209,29841,29602,39551,60606,22942,127.024444,37.5252724,"37.5252724, 127.024444"
2020,2분기,23104,4688,29888,28605,40863,59505,22830,127.024444,37.5252724,"37.5252724, 127.024444"
2020,3분기,23104,4290,30661,29400,42203,59468,23642,127.024444,37.5252724,"37.5252724, 127.024444"
2020,4분기,23104,3683,29669,28433,39649,53597,22064,127.024444,37.5252724,"37.5252724, 127.024444"
2020,1분기,23105,14474,112919,34613,36427,56695,21479,127.0283485,37.52615131,"37.52615131, 127.0283485"
2020,2분기,23105,14194,108680,33934,36270,55928,21117,127.0283485,37.52615131,"37.52615131, 127.0283485"
