연도,분기,월,지하철역,호선명,00-06시,06-11시,11-14시,14-17시,17-21시,21-24시,위도,경도
2020,1,1,강남,2호선,64195,1390569,851787,1020723,1842601,807774,37.4974135,127.028008
2020,1,1,삼성(무역센터),2호선,20837,968174,439256,553549,1077187,279793,37.508844,127.06316
2020,1,1,선릉,2호선,23811,891141,372616,472332,898156,267683,37.504571,127.048505
2020,1,1,역삼,2호선,20816,1001912,343193,410819,900137,237617,37.500622,127.036456
2020,1,1,대청,3호선,8088,163454,74159,87450,159204,55764,37.493514,127.079532
2020,1,1,대치,3호선,6509,187050,111787,122559,198688,93025,37.494612,127.063642
2020,1,1,도곡,3호선,3672,101095,48639,51538,90531,26194,37.491073,127.055319
2020,1,1,매봉,3호선,4054,209435,79220,92194,195911,53893,37.486947,127.046769
2020,1,1,수서,3호선,12612,304169,162286,179818,310014,102146,37.487425,127.1016645
2020,1,1,신사,3호선,14256,461758,282175,357447,647566,218499,37.516334,127.020114
2020,1,1,압구정,3호선,10764,557720,321860,368939,623419,165146,37.527072,127.028461
2020,1,1,일원,3호선,5361,175509,103539,107555,134980,39243,37.483681,127.08439
2020,1,1,학여울,3호선,1091,36762,19342,22916,33216,8998,37.496663,127.070594
2020,1,1,강남구청,7호선,7433,313601,107171,125484,269799,86525,37.517324,127.041203
2020,1,1,논현,7호선,11761,378747,128999,158457,365304,127717,37.511093,127.021415
2020,1,1,청담,7호선,11174,435177,132019,156982,347842,92350,37.519365,127.05335
2020,1,1,학동,7호선,8937,486540,131613,160045,402848,95576,37.514229,127.031656
2020,1,1,신논현,9호선,20825,470349,277759,335003,667936,273824,37.504598,127.02506
2020,1,1,봉은사,9호선2~3단계,5038,282872,156034,180471,329234,91071,37.514219,127.060245
2020,1,1,삼성중앙,9호선2~3단계,2751,112203,42335,49981,116810,30598,37.513011,127.053282
2020,1,1,선정릉,9호선2~3단계,4366,164217,64845,72402,156466,47500,37.510516,127.043838
2020,1,1,언주,9호선2~3단계,5071,162792,69654,81449,170606,44536,37.507287,127.033868
2020,1,1,강남구청,분당선,2981,169846,80212,92840,181701,47469,37.517324,127.041203
2020,1,1,개포동,분당선,1772,63874,33913,35053,57124,23724,37.489116,127.06614
2020,1,1,구룡,분당선,833,26090,12575,16491,19975,6262,37.486839,127.058856
2020,1,1,대모산입구,분당선,3201,63813,27642,30871,47353,14856,37.491373,127.07272
2020,1,1,도곡,분당선,2707,113386,58317,64886,111571,33000,37.491073,127.055319
2020,1,1,선릉,분당선,3798,342287,105938,112244,247950,64106,37.504571,127.048505
2020,1,1,선정릉,분당선,2572,154745,59019,63209,137105,34063,37.510516,127.043838
2020,1,1,수서,분당선,7906,249186,129347,139832,253549,84777,37.487425,127.1016645
2020,1,1,압구정로데오,분당선,3842,266530,143754,172267,356196,89631,37.527381,127.040534
2020,1,1,한티,분당선,3815,232113,147331,150546,273394,100694,37.496237,127.052873
2020,1,2,강남,2호선,48872,1267395,673686,782257,1512726,608650,37.4974135,127.028008
2020,1,2,삼성(무역센터),2호선,18322,882312,309559,382980,893408,215225,37.508844,127.06316
2020,1,2,선릉,2호선,20643,838792,313685,403230,833708,221182,37.504571,127.048505
2020,1,2,역삼,2호선,18854,947110,286972,343687,826039,203820,37.500622,127.036456
2020,1,2,대청,3호선,6948,148434,58334,68288,136947,45299,37.493514,127.079532
2020,1,2,대치,3호선,5176,161753,84527,93328,163660,72709,37.494612,127.063642
2020,1,2,도곡,3호선,3018,89325,36047,38851,75627,20438,37.491073,127.055319
2020,1,2,매봉,3호선,3482,194785,58881,69334,175903,44109,37.486947,127.046769
2020,1,2,수서,3호선,10233,258461,115752,129750,249400,76353,37.487425,127.1016645
2020,1,2,신사,3호선,12044,437707,228154,283818,552949,177570,37.516334,127.020114
2020,1,2,압구정,3호선,8901,504022,241539,276556,521109,127931,37.527072,127.028461
2020,1,2,일원,3호선,4616,153405,74967,76795,111264,30606,37.483681,127.08439
2020,1,2,학여울,3호선,1014,31024,14216,17733,27077,7322,37.496663,127.070594
2020,1,2,강남구청,7호선,6681,303198,93537,110573,254352,77375,37.517324,127.041203
2020,1,2,논현,7호선,9762,362336,109218,132084,333386,107642,37.511093,127.021415
2020,1,2,청담,7호선,10501,412887,106775,130878,320602,78710,37.519365,127.05335
2020,1,2,학동,7호선,7521,461435,109670,133071,383958,84595,37.514229,127.031656
2020,1,2,신논현,9호선,15772,427698,216875,254185,545568,207643,37.504598,127.02506
2020,1,2,봉은사,9호선2~3단계,4230,251035,104164,118159,265436,69184,37.514219,127.060245
2020,1,2,삼성중앙,9호선2~3단계,2453,105389,33967,39779,105883,25716,37.513011,127.053282
2020,1,2,선정릉,9호선2~3단계,3644,153433,52370,56809,142842,40597,37.510516,127.043838
2020,1,2,언주,9호선2~3단계,4249,153327,56505,66279,150823,36462,37.507287,127.033868
2020,1,2,강남구청,분당선,2577,157095,66203,75278,163014,40663,37.517324,127.041203
2020,1,2,개포동,분당선,1451,55800,26110,26167,49265,19455,37.489116,127.06614
2020,1,2,구룡,분당선,765,25701,10302,13604,17072,4670,37.486839,127.058856
2020,1,2,대모산입구,분당선,3025,57608,20325,24169,42067,11592,37.491373,127.07272
2020,1,2,도곡,분당선,2319,101086,44131,48816,92718,25644,37.491073,127.055319
2020,1,2,선릉,분당선,3303,322885,89308,95273,229136,52034,37.504571,127.048505
2020,1,2,선정릉,분당선,2285,146861,45305,49079,127847,30363,37.510516,127.043838
2020,1,2,수서,분당선,6867,211861,94367,105285,208102,64125,37.487425,127.1016645
2020,1,2,압구정로데오,분당선,3317,252943,117544,140157,313623,75166,37.527381,127.040534
2020,1,2,한티,분당선,3195,201158,112479,113298,225249,79138,37.496237,127.052873
2020,1,3,강남,2호선,39488,1061561,459152,566449,1209795,447111,37.4974135,127.028008
2020,1,3,삼성(무역센터),2호선,16269,728679,202387,263677,691120,149425,37.508844,127.06316
2020,1,3,선릉,2호선,18316,749430,243748,334871,721523,178110,37.504571,127.048505
2020,1,3,역삼,2호선,17215,809567,218689,282017,682271,156950,37.500622,127.036456
2020,1,3,대청,3호선,6454,125177,41008,52756,114247,34393,37.493514,127.079532
2020,1,3,대치,3호선,4403,126779,51709,60817,116566,42371,37.494612,127.063642
